SMS,HAM-SPAM
Does uncle timi help in clearing cars,Ham
I will reach ur home in  &lt;#&gt;  minutes,Ham
Sat right? Okay thanks... ,Ham
It's justbeen overa week since we broke up and already our brains are going to mush!,Ham
Beauty sleep can help ur pimples too.,Ham
I thank you so much for all you do with selflessness. I love you plenty.,Ham
So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,Ham
I'm hungry buy smth home...,Ham
"Found it, ENC  &lt;#&gt; , where you at?",Ham
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",Ham
Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,Spam
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,Ham
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Ham
Nvm take ur time.,Ham
"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",Ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,Ham
Alright i have a new goal now,Ham
God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,Ham
"Oh yes, why is it like torture watching england?",Ham
"not that I know of, most people up here are still out of town",Ham
I am late. I will be there at,Ham
Yunny... I'm goin to be late,Ham
I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book,Ham
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,Ham
Have you finished work yet? :),Ham
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",Ham
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",Ham
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",Ham
"Goodmorning, today i am late for 1hr.",Ham
Guessin you ain't gonna be here before 9?,Ham
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,Ham
"Me also da, i feel yesterday night  wait til 2day night dear.",Ham
Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,Ham
Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,Ham
"I'm in a meeting, call me later at",Ham
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,Spam
We are okay. Going to sleep now. Later,Ham
Hey r ü still online? I've finished the formatting...,Ham
* Will be september by then!,Ham
Customer place i will call you,Ham
I jokin oni lar.. Ü busy then i wun disturb ü.,Ham
"Not much, just some textin'. How bout you?",Ham
Why she wants to talk to me,Ham
Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,Ham
"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",Ham
That was random saw my old roomate on campus. He graduated,Ham
And is there a way you can send shade's stuff to her. And she has been wonderful too.,Ham
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,Ham
Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,Spam
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",Ham
No prob. I will send to your email.,Ham
PRIVATE! Your 2003 Account Statement for 078,Spam
I know a few people I can hit up and fuck to the yes,Ham
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,Spam
I will once i get home,Ham
My uncles in Atlanta. Wish you guys a great semester.,Ham
Hey mr whats the name of that bill brison book the one about language and words ,Ham
Where are you lover ? I need you ...,Ham
"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",Ham
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386 ,Spam
In work now. Going have in few min.,Ham
"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",Ham
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,Spam
"Aight no rush, I'll ask jay",Ham
Somebody set up a website where you can play hold em using eve online spacebucks,Ham
"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",Spam
I to am looking forward to all the sex cuddling.. Only two more sleeps ,Ham
East coast,Ham
I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,Ham
"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",Spam
"Good! No, don‘t need any receipts—well done! (…) Yes, please tell . What‘s her number, i could ring her",Ham
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,Ham
Sorry. || mail? || ,Ham
Where is that one day training:-),Ham
Which channel:-):-):):-).,Ham
"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",Ham
It should take about  &lt;#&gt;  min,Ham
Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,Ham
You sure your neighbors didnt pick it up,Ham
Once free call me sir.,Ham
"It,,s a taxt massage....tie-pos argh ok! Lool!",Ham
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",Spam
No current and food here. I am alone also,Ham
So do you have samus shoulders yet,Ham
Ya:)going for restaurant..,Ham
"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",Ham
Leave it. U will always be ignorant.,Ham
Yeah it's jus rite...,Ham
88066 FROM 88066 LOST 3POUND HELP,Spam
hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,Ham
have * good weekend.,Ham
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,Ham
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",Ham
"aight we can pick some up, you open before tonight?",Ham
How i noe... Did ü specify da domain as nusstu... Ü still in sch...,Ham
7 lor... Change 2 suntec... Wat time u coming?,Ham
Yup i thk so until e shop closes lor.,Ham
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,Ham
Men like shorter ladies. Gaze up into his eyes.,Ham
I don't know but I'm raping dudes at poker,Ham
"Coffee cake, i guess...",Ham
"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",Ham
3 pa but not selected.,Ham
You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,Ham
Every monday..nxt week vl be completing..,Ham
Yeah do! Don‘t stand to close tho- you‘ll catch something!,Ham
Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,Ham
Hey... Why dont we just go watch x men and have lunch... Haha ,Ham
"K I'll head out in a few mins, see you there",Ham
"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",Ham
Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,Ham
"St andre, virgil's cream",Ham
Please ask mummy to call father,Ham
You call times job today ok umma and ask them to speed up,Ham
Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,Ham
I've sent ü my part..,Ham
I anything lor.,Ham
Yeah no probs - last night is obviously catching up with you... Speak soon ,Ham
"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",Ham
"""Response"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",Ham
Pls speak with me. I wont ask anything other then you friendship.,Ham
Great. Never been better. Each day gives even more reasons to thank God,Ham
Eh u send wrongly lar...,Ham
"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",Ham
"Ah, well that confuses things, doesn‘t it?",Ham
She ran off with a younger man. we will make pretty babies together :),Ham
Doing my masters. When will you buy a bb cos i have for sale and how's bf,Ham
Yes.i'm in office da:),Ham
Hai priya are you right. What doctor said pa. Where are you.,Ham
"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",Ham
"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn",Ham
Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,Ham
"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",Spam
Fine if thats the way u feel. Thats the way its gota b,Ham
"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",Ham
U studying in sch or going home? Anyway i'll b going 2 sch later.,Ham
His frens go then he in lor. Not alone wif my mum n sis lor.,Ham
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",Ham
HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,Ham
Thats cool. i liked your photos. You are very sexy!,Ham
Sent me de webadres for geting salary slip,Ham
Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,Spam
How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,Ham
Many more happy returns of the day. I wish you happy birthday.,Ham
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",Ham
We currently have a message awaiting your collection. To collect your message just call 08718723815.,Spam
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Ham
I have gone into get info bt dont know what to do,Ham
Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,Ham
U having lunch alone? I now so bored...,Ham
Great! How is the office today?,Ham
Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,Spam
"I'm not sure, I was just checking out what was happening around the area",Ham
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",Ham
yay! finally lol. i missed our cinema trip last week :-(,Ham
"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",Spam
Hey... Very inconvenient for your sis a not huh?,Ham
I am in a marriage function,Ham
LOL what happens in Vegas stays in vegas,Ham
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,Spam
Asking do u knw them or nt? May be ur frnds or classmates?,Ham
Now got tv 2 watch meh? U no work today?,Ham
I need... Coz i never go before ,Ham
Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,Ham
Have a nice day my dear.,Ham
"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",Ham
"I want to show you the world, princess :) how about europe?",Ham
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,Ham
I am waiting for your call sir.,Ham
Do u still have plumbers tape and a wrench we could borrow?,Ham
"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",Ham
"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",Ham
I WILL CAL YOU SIR. In meeting,Ham
ringtoneking 84484,Spam
"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",Ham
Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,Ham
"Aight, can you text me the address?",Ham
Im just wondering what your doing right now?,Ham
Hey gals...U all wanna meet 4 dinner at nìte? ,Ham
I am not having her number sir,Ham
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",Spam
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",Ham
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Ham
Not..tel software name..,Ham
You'll never believe this but i have actually got off at taunton. Wow,Ham
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",Ham
I love to cuddle! I want to hold you in my strong arms right now...,Ham
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",Ham
At WHAT TIME should i come tomorrow,Ham
"Haha yeah I see that now, be there in a sec",Ham
My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,Ham
"Aight, let me know when you're gonna be around usf",Ham
Then why no one talking to me,Ham
K...k:)why cant you come here and search job:),Ham
Just getting back home,Ham
That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,Ham
Hey they r not watching movie tonight so i'll prob b home early...,Ham
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,Spam
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",Ham
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",Ham
"Sorry, I'll call later",Ham
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",Ham
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,Spam
Ya had just now.onion roast.,Ham
Ok then i come n pick u at engin?,Ham
"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",Ham
Havent.,Ham
"Good stuff, will do.",Ham
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",Ham
Whatsup there. Dont u want to sleep,Ham
No da if you run that it activate the full version da.,Ham
When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.,Ham
Any way where are you and what doing.,Ham
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",Spam
So u wan 2 come for our dinner tonight a not?,Ham
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,Ham
Are you planning to come chennai?,Ham
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",Ham
85233 FREE>Ringtone!Reply REAL,Spam
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",Ham
What time is ur flight tmr?,Ham
Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,Spam
K:)k.are you in college?,Ham
I think if he rule tamilnadu..then its very tough for our people.,Ham
Wah lucky man... Then can save money... Hee...,Ham
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",Ham
Let me know if you need anything else. Salad or desert or something... How many beers shall i get?,Ham
"Well, i'm gonna finish my bath now. Have a good...fine night.",Ham
Will you come online today night,Ham
Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,Ham
You unbelievable faglord,Ham
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",Spam
Ok i go change also...,Ham
Ok enjoy . R u there in home.,Ham
my ex-wife was not able to have kids. Do you want kids one day?,Ham
I see the letter B on my car,Ham
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",Ham
Audrie lousy autocorrect,Ham
Cause I'm not freaky lol,Ham
Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,Ham
K..i deleted my contact that why?,Ham
"K, wat s tht incident?",Ham
"We are hoping to get away by 7, from Langport. You still up for town tonight?",Ham
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnt make ur bday 2 hun!",Ham
Dear :-/ why you mood off. I cant drive so i brother to drive,Ham
"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",Ham
Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,Spam
Got meh... When?,Ham
I am in tirupur.  call you da.,Ham
Ok no prob,Ham
"Vikky, come around  &lt;TIME&gt; ..",Ham
Just sleeping..and surfing,Ham
"Haha awesome, I might need to take you up on that, what you doin tonight?",Ham
No message..no responce..what happend?,Ham
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",Spam
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Ham
You're gonna have to be way more specific than that,Ham
Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,Ham
"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",Spam
Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,Ham
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",Ham
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",Spam
I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,Spam
Hi Princess! Thank you for the pics. You are very pretty. How are you?,Ham
"I didnt get ur full msg..sometext is missing, send it again",Ham
Dont talk to him ever ok its my word.,Ham
Shuhui has bought ron's present it's a swatch watch...,Ham
"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-).",Ham
"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",Ham
Can you say what happen,Ham
You see the requirements please,Ham
Its ok my arm is feeling weak cuz i got a shot so we can go another time,Ham
Watching telugu movie..wat abt u?,Ham
That's the way you should stay oh.,Ham
will you like to be spoiled? :),Ham
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,Ham
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Ham
I know she called me,Ham
Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,Ham
I'm ok. Will do my part tomorrow,Ham
What Today-sunday..sunday is holiday..so no work..,Ham
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,Ham
I'll probably be around mu a lot,Ham
Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,Ham
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",Ham
Just got outta class gonna go gym.,Ham
Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,Ham
So when do you wanna gym harri,Ham
No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:),Ham
Gettin rdy to ship comp,Ham
Gokila is talking with you aha:),Ham
"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",Ham
Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,Ham
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,Ham
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",Ham
You have got tallent but you are wasting.,Ham
Yup...,Ham
Uhhhhrmm isnt having tb test bad when youre sick,Ham
Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,Ham
For sale - arsenal dartboard. Good condition but no doubles or trebles!,Spam
Yes... I trust u to buy new stuff ASAP so I can try it out,Ham
645,Ham
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",Spam
Lol! Oops sorry! Have fun. ,Ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,Ham
Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,Ham
Great! I have to run now so ttyl!,Ham
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,Ham
You still around? I could use a half-8th,Ham
Dont know supports ass and srt i thnk. I think ps3 can play through usb too,Ham
Howz pain?hope u r fine..,Ham
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,Ham
I'm leaving my house now.,Ham
He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,Ham
"Not sure yet, still trying to get a hold of him",Ham
I'm in inside office..still filling forms.don know when they leave me.,Ham
"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)",Ham
Left dessert. U wan me 2 go suntec look 4 u?,Ham
Eatin my lunch...,Ham
No no. I will check all rooms befor activities,Ham
